headline,web_url,pub_date,byline,section,full_text
"Carter Had Complicated History With Israel, Despite Camp David Accords",https://www.nytimes.com/2024/12/29/us/politics/carter-israel-camp-david.html,2024-12-30T04:54:18+0000,By Peter Baker,U.S.,
The Question of Anti-Zionism and Antisemitism,https://www.nytimes.com/2023/11/15/opinion/israel-gaza-antisemitism.html,2023-11-16T00:00:08+0000,By Charles M. Blow,Opinion,
Antisemitic Attacks Prompt Emergency Flights for Israeli Soccer Fans,https://www.nytimes.com/2024/11/08/world/europe/amsterdam-israel-soccer-fans-attacked.html,2024-11-08T05:39:00+0000,"By John Yoon, Christopher F. Schuetze, Jin Yu Young and Claire Moses",World,
Israel’s Justice Ministry Opens Inquiry Into Police Killing of Youth in East Jerusalem,https://www.nytimes.com/2024/03/13/world/middleeast/israel-boy-killed-east-jerusalem-palestinian.html,2024-03-13T19:32:58+0000,"By Gabby Sobelman, Adam Sella and Cassandra Vinograd",World,
‘Erase Gaza’: War Unleashes Incendiary Rhetoric in Israel,https://www.nytimes.com/2023/11/15/world/middleeast/israel-gaza-war-rhetoric.html,2023-11-15T10:02:56+0000,By Mark Landler,World,
The Anti-Israel Left Needs to Take a Hard Look at Itself,https://www.nytimes.com/2023/10/10/opinion/israel-hamas-protests-left.html,2023-10-10T20:37:39+0000,By Bret Stephens,Opinion,
The Road Back From Hell,https://www.nytimes.com/2023/11/08/opinion/israel-hamas-cease-fire.html,2023-11-08T06:00:11+0000,By Daniel Levy,Opinion,
"Florida Scours College Textbooks, Looking for Antisemitism",https://www.nytimes.com/2025/01/27/us/florida-college-textbooks-antisemitism.html,2025-01-27T18:39:31+0000,By Vimal Patel,U.S.,
It’s Not Just Gaza: Student Protesters See Links to a Global Struggle,https://www.nytimes.com/2024/05/01/us/pro-palestinian-college-protests.html,2024-05-01T18:49:54+0000,By Jeremy W. Peters,U.S.,
The Houthi Militia in Yemen Has Gained Clout With Ship Attacks in the Red Sea,https://www.nytimes.com/2023/12/19/world/middleeast/houthis-red-sea-yemen-israel.html,2023-12-12T20:34:44+0000,By Vivian Nereim,World,
Reckoning With Israel’s Past Is Hard. The Present Is Harder.,https://www.nytimes.com/2024/10/07/books/review/loot-adam-raz-the-gates-of-gaza-amir-tibon.html,2024-10-07T09:00:20+0000,By Max Strasser,Books,
Jewish American Families Confront a Generational Divide Over Israel,https://www.nytimes.com/2023/12/05/us/jewish-american-israel-gaza-generation-gap.html,2023-12-05T17:50:35+0000,By Emma Goldberg and Marc Tracy,U.S.,
Protesters Occupy Building at Rhode Island School of Design,https://www.nytimes.com/2024/05/06/us/risd-protests-occupy-building.html,2024-05-07T03:57:30+0000,By Yan Zhuang,U.S.,
‘Angry and Afraid’: Tensions High in New York Over Israel-Hamas War,https://www.nytimes.com/2023/10/22/nyregion/israel-hamas-new-york-tensions.html,2023-10-23T00:08:44+0000,By Andy Newman,New York,
How the War in Gaza Disrupted an Elite Private School,https://www.nytimes.com/2024/06/26/nyregion/new-york-private-schools-israel-gaza.html,2024-06-26T07:00:13+0000,By Katherine Rosman,New York,
"As Turkey Cuts Trade Ties, Israel’s Isolation Grows",https://www.nytimes.com/2024/05/03/world/middleeast/turkey-israel-gaza-cease-fire.html,2024-05-03T21:50:51+0000,"By Gulsin Harman, Aaron Boxerman, Ben Hubbard and Thomas Fuller",World,
"House Declares Anti-Zionism Is Antisemitism, Dividing Democrats",https://www.nytimes.com/2023/12/05/world/middleeast/house-anti-zionism-antisemitism.html,2023-12-05T21:42:58+0000,By Karoun Demirjian,World,
Seven People Charged Over Break-In at Israeli Arms Company’s U.K. Site,https://www.nytimes.com/2024/08/13/world/europe/israeli-arms-company-elbit-break-in.html,2024-08-13T18:08:56+0000,By Lynsey Chutel,World,
Transcript: Ezra Klein Interviews Tom Friedman,https://www.nytimes.com/2024/01/19/podcasts/transcript-ezra-klein-interviews-tom-friedman.html,2024-01-19T22:52:34+0000,,Podcasts,
How the Mideast War Has Shaken America’s Cultural Institutions,https://www.nytimes.com/2024/11/14/arts/design/israel-gaza-war-art-culture-conflict.html,2024-11-14T10:00:31+0000,By Marc Tracy,Arts,
Tensions Flare in West Bank After Israeli Teenager Is Found Dead,https://www.nytimes.com/2024/04/13/world/middleeast/israel-palestine-teenager-west-bank.html,2024-04-13T23:15:05+0000,"By Aaron Boxerman, Christopher F. Schuetze and Julia Jacobs",World,
French Court Strikes Down Ban on Israeli Companies at Weapons Show,https://www.nytimes.com/2024/06/18/world/middleeast/arms-show-ban-france-israel-weapons.html,2024-06-18T13:04:19+0000,By Aurelien Breeden,World,
Transcript: Ezra Klein Interviews Spencer Ackerman and Peter Beinart,https://www.nytimes.com/2023/10/24/podcasts/transcript-ezra-klein-interviews-spencer-ackerman-and-peter-beinart.html,2023-10-24T19:34:39+0000,,Podcasts,
‘Everyone Was Surprised’: Palestinians in Gaza React to Conflict,https://www.nytimes.com/video/world/middleeast/100000009123230/gaza-israel-palestine-attack-hamas.html,2023-10-09T00:26:04+0000,,World,
Maps: Tracking the Attacks in Israel and Gaza,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html,2023-10-07T18:33:16+0000,"By Lauren Leatherby, Karen Yourish, Elena Shao, Eli Murray, Scott Reinhard, Josh Holder, Agnes Chang, Eleanor Lutz, Weiyi Cai, Pablo Robles, Leanne Abraham, Zach Levitt, Tim Wallace, Yousur Al-Hlou, Aric Toler, Ishaan Jhaveri, Robin Stein, Ashley Wu, Riley Mellen, John Ismay, Hiba Yazbek, Christoph Koettl, Molly Cook Escobar, Charlie Smart, Patrick Kingsley, Ronen Bergman, Amy Schoenfeld Walker, Bora Erden and Jon Huang",World,
"Israel Orders Partial Evacuation of Rafah, Fueling Fears of New Offensive",https://www.nytimes.com/2024/05/06/world/middleeast/israel-rafah-hamas-ceasefire.html,2024-05-06T20:55:16+0000,"By Vivek Shankar, Liam Stack, Adam Rasgon and Michael Levenson",World,
Biden Is ‘Outraged.’ But Is He Willing to Use America’s Leverage With Israel?,https://www.nytimes.com/2024/04/03/us/politics/biden-israel-gaza.html,2024-04-03T21:56:27+0000,By David E. Sanger and Peter Baker,U.S.,
New Resources for Teaching About the Israel-Hamas War,https://www.nytimes.com/2024/01/25/learning/lesson-plans/new-resources-for-teaching-about-the-israel-hamas-war.html,2024-01-25T16:18:04+0000,By The Learning Network,The Learning Network,
Transcript: Ezra Klein Interviews Ari Shavit,https://www.nytimes.com/2024/05/07/podcasts/transcript-ezra-klein-interviews-ari-shavit.html,2024-05-07T20:54:17+0000,,Podcasts,
Many Israelis Want Netanyahu Out. But There Is No Simple Path to Do It.,https://www.nytimes.com/2024/02/05/world/middleeast/israel-netanyahu-americans-elections.html,2024-02-05T10:02:39+0000,By Steven Erlanger,World,
Israel Gives UNRWA Six Days to Halt Operations in East Jerusalem,https://www.nytimes.com/2025/01/24/world/middleeast/israel-unrwa-palestinian-refugees.html,2025-01-25T01:04:53+0000,By Farnaz Fassihi,World,
Austin Pushes Back on Claims of Israel Carrying Out Genocide in Gaza,https://www.nytimes.com/2024/04/09/world/middleeast/austin-genocide-gaza-israel.html,2024-04-09T19:27:31+0000,By John Ismay,World,
The U.S. vetoes a Security Council resolution on the Israel-Hamas conflict.,https://www.nytimes.com/2023/10/18/world/middleeast/israel-hamas-gaza-un-security-council.html,2023-10-18T22:35:45+0000,By Farnaz Fassihi,World,
"After Weeks of Planning, Seconds Made the Difference in Israel’s Hostage Rescue",https://www.nytimes.com/2024/06/10/world/middleeast/israel-hostage-rescue-gaza.html,2024-06-11T01:47:43+0000,By Bilal Shbair and Ronen Bergman,World,
"Israel Rolls Into Paris Olympics Amid Cheers, Boos and Police Sirens",https://www.nytimes.com/2024/07/24/world/olympics/paris-olympics-israel-soccer.html,2024-07-24T21:19:59+0000,By Tariq Panja,World,
Race and Israel Take Center Stage in Final Bowman-Latimer Debate,https://www.nytimes.com/2024/06/18/nyregion/bowman-latimer-debate.html,2024-06-19T01:54:00+0000,By Nicholas Fandos,New York,
One Issue on Which Israeli Extremists Are Mainstream,https://www.nytimes.com/2024/09/16/opinion/israel-west-bank.html,2024-09-16T05:00:14+0000,By Hagai El-Ad,Opinion,
What I Read to My Son When the World Is on Fire,https://www.nytimes.com/2023/11/06/opinion/jewish-palestine-literature.html,2023-11-06T10:01:53+0000,By Miriam Udel,Opinion,
Teaching and Learning About the Pro-Palestinian Student Protests on College Campuses,https://www.nytimes.com/2024/05/09/learning/lesson-plans/teaching-and-learning-about-the-pro-palestinian-student-protests-on-college-campuses.html,2024-05-09T15:36:01+0000,By The Learning Network,The Learning Network,
"Israeli Bombing in Gaza Humanitarian Zone Kills at Least 19, Officials Say",https://www.nytimes.com/2024/09/10/world/middleeast/israeli-attack-gaza-humanitarian-zone.html,2024-09-10T22:04:05+0000,"By Rawan Sheikh Ahmad, Ephrat Livni, Sanjana Varghese and Thomas Fuller",World,
U.S. Military’s Plea to Israel: Do More to Protect Gazans in War Zone,https://www.nytimes.com/2024/05/10/us/politics/us-military-israel-gaza.html,2024-05-10T17:40:38+0000,By Helene Cooper and Eric Schmitt,U.S.,
Colombia to Sever Ties With Israel Over Gaza War,https://www.nytimes.com/2024/05/01/world/middleeast/colombia-israel-relations.html,2024-05-01T20:24:52+0000,By Genevieve Glatsky,World,
"‘The Longer and Bloodier the War, the Harder it Will Be for the Democratic Coalition’",https://www.nytimes.com/2023/11/08/opinion/biden-trump-israel-hamas.html,2023-11-08T10:02:39+0000,By Thomas B. Edsall,Opinion,
"Dozens Killed as Israeli Strikes Pound Lebanon, Health Ministry Says",https://www.nytimes.com/2024/11/07/world/middleeast/israel-lebanon-hezbollah-gaza.html,2024-11-07T12:18:08+0000,"By Liam Stack, Matthew Mpoke Bigg and Ephrat Livni",World,
"Spain, Norway and Ireland Recognize Palestinian Statehood",https://www.nytimes.com/video/world/100000009482799/palestine-spain-norway-ireland.html,2024-05-22T19:30:06+0000,By The Associated Press,World,
Tuesday Briefing: An Israeli Warning to Hezbollah,https://www.nytimes.com/2023/12/11/briefing/israel-labanon-ukraine.html,2023-12-11T21:09:21+0000,By Jonathan Wolfe,Briefing,
A Timeline of How the Israel-Hamas War Has Roiled College Campuses,https://www.nytimes.com/2023/12/12/us/campus-unrest-israel-gaza-antisemitism.html,2023-12-12T13:35:11+0000,By Anna Betts,U.S.,
The War in Gaza Is Splintering the Democratic Party,https://www.nytimes.com/2023/11/17/opinion/israel-democratic-party-jamaal-bowman.html,2023-11-17T10:03:12+0000,By Michelle Goldberg,Opinion,
U.S. to Press Israel for ‘Pauses’ in War With Hamas,https://www.nytimes.com/2023/11/02/us/politics/biden-israel-gaza-fighting-pause.html,2023-11-02T16:03:22+0000,By Michael D. Shear,U.S.,
Israel Presses On With Strikes in Gaza After U.N. Cease-Fire Resolution,https://www.nytimes.com/2024/03/26/world/middleeast/israel-strikes-gaza-un-cease-fire-resolution.html,2024-03-26T12:15:38+0000,By Hiba Yazbek,World,
Israel Orders New Evacuation in Gaza as Aid Workers Say Bombing Kills Dozens,https://www.nytimes.com/2024/07/22/world/middleeast/israel-gaza-khan-younis.html,2024-07-22T23:00:20+0000,By Matthew Mpoke Bigg and Iyad Abuheweila,World,
Read the I.C.J. Ruling on Israel’s Rafah Offensive,https://www.nytimes.com/interactive/2024/05/24/us/israelruling.html,2024-05-24T15:32:22+0000,,U.S.,
Austin Returns to Israel With a Tougher Message and Lessons Learned,https://www.nytimes.com/2023/12/18/us/politics/lloyd-austin-israel-gaza.html,2023-12-18T09:14:57+0000,By Helene Cooper and Eric Schmitt,U.S.,
Artforum Fires Top Editor After Its Open Letter on Israel-Hamas War,https://www.nytimes.com/2023/10/26/arts/artforum-editor-fired-david-velasco-palestine-gaza.html,2023-10-27T03:00:54+0000,By Zachary Small,Arts,
"What Is Hezbollah, the Group That Poses a Threat to Israel From the North?",https://www.nytimes.com/2023/10/19/world/middleeast/hezbollah-lebanon-israel-explained.html,2023-10-19T11:38:13+0000,By Nicholas Casey and Euan Ward,World,
Israeli Officials Believe International Court Is Preparing Arrest Warrants Over War,https://www.nytimes.com/2024/04/28/world/middleeast/netanyahu-icc-arrest-warrants-israel-hamas.html,2024-04-28T21:51:08+0000,By Ronen Bergman and Patrick Kingsley,World,
House Republicans’ Next Target: Reports of Antisemitism in K-12 Schools,https://www.nytimes.com/2024/05/07/us/house-gop-antisemitism-education.html,2024-05-07T09:01:29+0000,By Dana Goldstein and Sarah Mervosh,U.S.,
92NY Pulls Event With Acclaimed Writer Who Criticized Israel,https://www.nytimes.com/2023/10/21/arts/92ny-viet-thanh-nguyen-israel.html,2023-10-21T17:53:38+0000,By Jennifer Schuessler,Arts,
Top U.N. Court Decision Adds to Israel’s Growing Isolation,https://www.nytimes.com/2024/05/24/world/middleeast/icj-israel-rafah-isolation.html,2024-05-24T17:32:58+0000,By Patrick Kingsley,World,
"War Brings Tensions, and Assault Rifles, Into an Israeli College",https://www.nytimes.com/2024/01/07/world/middleeast/israel-gaza-haifa-university-students.html,2024-01-07T10:01:15+0000,By Adam Sella,World,
The Appalling Tactics of the ‘Free Palestine’ Movement,https://www.nytimes.com/2024/04/02/opinion/the-appalling-tactics-of-the-free-palestine-movement.html,2024-04-02T23:00:05+0000,By Bret Stephens,Opinion,
Israel Forms Unity Government and Bombs Gaza in the Wake of Hamas Attack,https://www.nytimes.com/2023/10/11/world/middleeast/israel-hamas-gaza-unity-government.html,2023-10-11T19:59:20+0000,"By Hiba Yazbek, Nicholas Casey and Patrick Kingsley",World,
What Is ‘Settler Colonialism’?,https://www.nytimes.com/2024/01/22/arts/what-is-settler-colonialism.html,2024-01-22T10:00:34+0000,By Jennifer Schuessler,Arts,
"Before the Eurovision Final, a Pro-Palestinian March",https://www.nytimes.com/2024/05/11/arts/music/eurovision-israel-palestine-protest.html,2024-05-11T17:27:54+0000,By Alex Marshall,Arts,
Israel’s Military Says 3 Rescued Hostages Were Held in Hamas Member’s Home,https://www.nytimes.com/2024/06/10/world/middleeast/israel-hostages-hamas.html,2024-06-10T22:01:44+0000,By Matthew Mpoke Bigg,World,
"Gazans Release Names of 6,747 People They Say Were Killed in Israeli Strikes",https://www.nytimes.com/2023/10/26/world/middleeast/gaza-death-toll-israel.html,2023-10-26T21:45:11+0000,By Vivian Yee,World,
"As Gaza Death Toll Mounts, the Peace Lobby Fights for Influence in Washington",https://www.nytimes.com/2024/02/16/us/politics/gaza-peace-lobby-washington.html,2024-02-16T05:01:26+0000,By Kate Kelly,U.S.,
"Iran’s Leaders Are Vulnerable, Divided and at a Crossroad on Response to Israel",https://www.nytimes.com/2024/09/29/world/middleeast/iran-hezbollah-israel-nasrallah.html,2024-09-29T04:01:29+0000,By Farnaz Fassihi,World,
Nikki Haley’s Past Stance on Israel Could Be Key to Her Campaign’s Future,https://www.nytimes.com/2023/10/15/us/politics/nikki-haley-israel-trump.html,2023-10-15T09:01:08+0000,By Charles Homans,U.S.,
"Across the Mideast, a Surge of Support for Palestinians as War Erupts in Gaza",https://www.nytimes.com/2023/10/09/world/middleeast/mideast-palestine-support-gaza.html,2023-10-09T09:02:21+0000,By Vivian Nereim,World,
"Israel Hasn’t Offered Evidence Tying Many U.N. Workers to Hamas, Review Says",https://www.nytimes.com/2024/04/22/world/middleeast/unrwa-israel-hamas-report.html,2024-04-22T16:30:08+0000,By Cassandra Vinograd and Patrick Kingsley,World,
U.N. General Assembly Backs Palestinian Membership Bid,https://www.nytimes.com/video/world/middleeast/100000009462938/un-resolution-palestine-israel.html,2024-05-10T20:35:44+0000,By UNTV via Associated Press,World,
"Palestinian Americans, Dismayed by Violence, Say Historical Context Is Being Overlooked",https://www.nytimes.com/2023/10/12/us/palestinians-reaction-israel-hamas.html,2023-10-12T14:39:50+0000,"By Mitch Smith, Lauren McCarthy, Ernesto Londoño and Miriam Jordan",U.S.,
Videos show a densely populated area of Gaza decimated by Israel’s airstrike.,https://www.nytimes.com/2023/10/31/world/middleeast/jabaliya-camp-strike-israel-gaza.html,2023-10-31T23:24:42+0000,"By Haley Willis, Christoph Koettl and Bora Erden",World,
German Police Stop Pro-Palestinian Conference,https://www.nytimes.com/video/world/europe/100000009412212/palestine-conference-berlin.html,2024-04-12T20:58:36+0000,By Anadolu Agency via Reuters,World,
Hezbollah Fires Rockets at Israel in Response to Killing in Beirut,https://www.nytimes.com/2024/01/06/world/middleeast/hezbollah-israel-lebanon-gaza-war.html,2024-01-06T11:22:38+0000,"By Patrick Kingsley, Rawan Sheikh Ahmad and Raja Abdulrahim",World,
"Israel Used 2,000-Pound Bombs in Strike on Jabaliya, Analysis Shows",https://www.nytimes.com/2023/11/03/world/middleeast/israel-bomb-jabaliya.html,2023-11-04T01:16:34+0000,"By Christoph Koettl, Ainara Tiefenthäler, Haley Willis and Alexander Cardia",World,
"Israeli Airstrikes Kill Over 20, Gazans Say, and Hit Another U.N. Building",https://www.nytimes.com/2024/07/16/world/middleeast/israel-hamas-gaza.html,2024-07-16T21:44:57+0000,"By Aaron Boxerman, Matthew Mpoke Bigg, Julian Barnes and Michael Levenson",World,
What We Get Wrong About Israel and Gaza,https://www.nytimes.com/2023/11/15/opinion/israel-gaza-facts.html,2023-11-16T02:52:07+0000,By Nicholas Kristof,Opinion,
"Israeli Strike Near Rafah Hospital Kills at Least 11, Gaza Officials Say",https://www.nytimes.com/2024/03/02/world/middleeast/rafah-hospital-strike.html,2024-03-02T22:54:24+0000,By Anushka Patil,World,
"Israeli Artist Shuts Biennale Show, Urging Cease-Fire and Hostage Release",https://www.nytimes.com/2024/04/16/arts/design/israel-pavilion-venice-biennale.html,2024-04-16T06:50:36+0000,By Alex Marshall,Arts,
Israeli Strikes on Schools Pose a Life-or-Death Choice for Civilians,https://www.nytimes.com/2024/08/10/world/middleeast/israel-schools-shelters.html,2024-08-10T16:01:12+0000,By Matthew Mpoke Bigg and Rawan Sheikh Ahmad,World,
Calls to Divest From Israel Put Students and Donors on Collision Course,https://www.nytimes.com/2024/05/03/business/brown-university-divestment-israel-gaza.html,2024-05-03T09:05:09+0000,"By Santul Nerkar, Rob Copeland and Maureen Farrell",Business Day,
Transcript: Ezra Klein Interviews Aslı Ü. Bâli,https://www.nytimes.com/2024/05/17/podcasts/transcript-ezra-klein-interviews-asli-bali.html,2024-05-17T18:38:21+0000,,Podcasts,
"Zvi Zamir, Israeli Spy Chief in a Critical Period, Dies at 98",https://www.nytimes.com/2024/01/16/world/middleeast/zvi-zamir-dead.html,2024-01-16T18:15:08+0000,By Richard Sandomir,World,
Fighting Rages Around Two Gaza Hospitals as Pressure on Israel Rises,https://www.nytimes.com/2024/03/28/world/middleeast/gaza-shifa-hospital-israel-hostages.html,2024-03-28T23:00:19+0000,"By Hiba Yazbek, Cassandra Vinograd and Rawan Sheikh Ahmad",World,
Here Are Some Prominent Palestinian Prisoners Set to Be Released,https://www.nytimes.com/2025/01/18/world/middleeast/palestine-prisoners-release-israel-hamas-ceasefire.html,2025-01-18T13:57:42+0000,By Aaron Boxerman,World,
"Israel Picks Holocaust Survivor Judge for Genocide Case, Surprising Some",https://www.nytimes.com/2024/01/08/world/middleeast/israel-gaza-genocide-case-judge-barak.html,2024-01-08T17:48:37+0000,By Isabel Kershner,World,
Democrats Have a Josh Shapiro Problem,https://www.nytimes.com/2024/08/17/opinion/josh-shapiro-democrats-israel.html,2024-08-17T11:00:29+0000,By James Kirchick,Opinion,
How Oct. 7 Upended One Man’s Diary,https://www.nytimes.com/2024/10/07/books/review/diary-of-a-crisis-saul-friedlander.html,2024-10-07T09:00:20+0000,By Ruth Margalit,Books,
German Cultural Scene Navigates a Clampdown on Criticism of Israel,https://www.nytimes.com/2023/12/07/arts/design/germany-arts-cancellations-israel-palestinians.html,2023-12-07T18:28:05+0000,By Alex Marshall,Arts,
The Most Revealing Moment From My Trip to Israel,https://www.nytimes.com/2023/11/14/opinion/israel-war-biden.html,2023-11-14T06:00:11+0000,By Thomas L. Friedman,Opinion,
Authors Withdraw From PEN World Voices Festival Over Its Response to Gaza War,https://www.nytimes.com/2024/03/15/books/booksupdate/pen-world-voices-festival-israel-gaza.html,2024-03-15T18:06:15+0000,By Alexandra Alter,Books,
How a U.N. Agency Became a Flashpoint in the Gaza War,https://www.nytimes.com/2024/09/12/magazine/unrwa-gaza-war.html,2024-09-12T09:02:29+0000,By Ben Hubbard,Magazine,
I Negotiated Israel’s Hardest Hostage Deal. Here’s What’s Next in Gaza.,https://www.nytimes.com/2023/10/21/opinion/israel-hamas-hostage.html,2023-10-21T11:00:09+0000,By Gershon Baskin,Opinion,
Read the I.C.J. ruling,https://www.nytimes.com/interactive/2024/01/26/world/middleeast/icj-gaza-provisional-ruling.html,2024-01-26T13:44:34+0000,,World,
‘Kidnapped’ Posters Express Anguish Over Israeli Hostages,https://www.nytimes.com/2023/10/16/nyregion/israeli-gaza-kidnapped-posters.html,2023-10-16T07:00:30+0000,By Katherine Rosman,New York,
Iran’s Supreme Leader Holds Emergency Meeting After Israel Attacks Lebanon,https://www.nytimes.com/2024/09/27/world/middleeast/iran-emergency-meeting-hezbollah.html,2024-09-27T22:53:23+0000,By Farnaz Fassihi,World,
Democrats’ Split Over Israel Takes Center Stage in Tense Primary Debate,https://www.nytimes.com/2024/05/13/nyregion/bowman-latimer-debate.html,2024-05-14T01:38:25+0000,By Nicholas Fandos,New York,
A G.O.P.-Linked Group’s Contradictory Ads Cast Harris as Friend and Foe of Israel,https://www.nytimes.com/2024/09/20/us/politics/trump-harris-israel-gaza-war.html,2024-09-20T17:30:11+0000,By Neil Vigdor and Katie Glueck,U.S.,
Critics Fault ‘Aggressive’ N.Y.P.D. Response to Pro-Palestinian Rally,https://www.nytimes.com/2024/05/19/nyregion/brooklyn-protest-palestinian-police.html,2024-05-19T21:47:07+0000,By Chelsia Rose Marcius and Jay Root,New York,
"Deep Under Gaza, Evidence of Cells and Hostages, Israel Says",https://www.nytimes.com/2024/01/21/world/middleeast/gaza-hamas-israel-tunnels-hostages.html,2024-01-21T16:44:40+0000,By Isabel Kershner,World,
Iranian Official Heads to Saudi Arabia as Israel Postpones U.S. Meeting,https://www.nytimes.com/2024/10/09/world/middleeast/iran-saudi-arabia-israel.html,2024-10-09T09:48:54+0000,By Ben Hubbard,World,
When ‘Decolonization’ Isn’t Just Academic Rhetoric,https://www.nytimes.com/2023/10/13/opinion/hamas-israel-land-acknowledgements.html,2023-10-13T17:30:21+0000,By Ross Douthat,Opinion,
Saudi Arabia Reiterates Support for a Palestinian State,https://www.nytimes.com/2025/02/04/us/politics/saudi-arabia-palestine-trump-gaza.html,2025-02-05T04:29:04+0000,By Qasim Nauman,U.S.,
Is This the End of Academic Freedom?,https://www.nytimes.com/2024/04/05/opinion/free-speech-academic-freedom.html,2024-04-05T09:02:29+0000,By Paula Chakravartty and Vasuki Nesiah,Opinion,
"Even With Gaza Under Siege, Some Are Imagining Its Reconstruction",https://www.nytimes.com/2024/04/28/business/gaza-economy-rebuilding.html,2024-04-28T09:01:48+0000,By Peter S. Goodman,Business Day,
Nowhere to Hide in Gaza as Israeli Onslaught Continues,https://www.nytimes.com/2023/10/10/world/middleeast/gaza-israel-airstrikes.html,2023-10-10T21:31:30+0000,By Raja Abdulrahim and Ameera Harouda,World,
Hezbollah Fired 200 Rockets at Israel. Here’s What to Know About the Escalating Tensions.,https://www.nytimes.com/2024/07/04/world/middleeast/hezbollah-israel-new-war.html,2024-07-04T04:01:35+0000,By Vivian Yee,World,
"In the West Bank, Palestinians Struggle to Adjust to a New Reality",https://www.nytimes.com/2024/02/02/world/middleeast/west-bank-palestine-israel.html,2024-02-02T10:01:51+0000,By Yara Bayoumy and Rami Nazzal,World,
Hezbollah’s Leader Says It Would Not Negotiate Peace With Israel Until War in Gaza Ends,https://www.nytimes.com/2024/01/05/world/middleeast/hezbollah-hassan-nasrallah-gaza-war-peace.html,2024-01-05T17:56:16+0000,By Euan Ward and Hwaida Saad,World,
The Backlash to Anti-Israel Protests Threatens Free Speech,https://www.nytimes.com/2023/12/04/opinion/israel-protests-free-speech.html,2023-12-05T00:00:09+0000,By Michelle Goldberg,Opinion,
Jon Stewart Takes on ‘Something Light’: Israel and Gaza,https://www.nytimes.com/2024/02/27/arts/television/jon-stewart-israel-gaza.html,2024-02-27T08:35:09+0000,By Trish Bendix,Arts,
I.C.C. Prosecutor Presses Court for Arrest Warrants for Hamas Chiefs and Israeli Leaders,https://www.nytimes.com/2024/09/10/world/middleeast/icc-warrants-hamas-netanyahu-yahya-sinwar.html,2024-09-10T20:50:37+0000,By Ephrat Livni,World,
Israeli Billboards Thanking the U.S. Have a New Face on Them: Biden’s,https://www.nytimes.com/2023/10/12/us/politics/biden-israel-palestine-trump.html,2023-10-12T22:39:24+0000,By Jonathan Weisman and Lisa Lerer,U.S.,
The Best Movie About Israel and Gaza Now Came Out 18 Years Ago,https://www.nytimes.com/2023/12/23/opinion/israel-gaza-munich.html,2023-12-23T12:00:15+0000,By Lisa Schwarzbaum,Opinion,
Release of Al-Shifa Hospital’s Director Sets Off Uproar Across Israel,https://www.nytimes.com/2024/07/02/world/middleeast/gaza-al-shifa-hospital-israel.html,2024-07-01T19:59:53+0000,By Hiba Yazbek and Ephrat Livni,World,
Amsterdam Police Arrest 5 More Men Over Antisemitic Attacks,https://www.nytimes.com/2024/11/11/world/europe/amsterdam-antisemitic-attacks-arrests.html,2024-11-11T23:01:44+0000,By Claire Moses and Jenny Gross,World,
"If Palestinian Freedom Makes You Uneasy, Ask Yourself Why",https://www.nytimes.com/2023/11/01/opinion/palestine-freedom-israel.html,2023-11-01T09:01:46+0000,By Hala Alyan and Vishakha Darbha,Opinion,
Hundreds at Harvard Protest Suspension of Pro-Palestinian Group,https://www.nytimes.com/2024/04/24/us/harvard-campus-protests.html,2024-04-24T22:07:30+0000,By Nicholas Bogel-Burroughs,U.S.,
LinkedIn Issues Warning to Site Shaming Pro-Palestinian Sentiment,https://www.nytimes.com/2023/10/22/world/middleeast/anti-israel-workers-website-linkedin.html,2023-10-22T21:26:00+0000,By Ryan Mac,World,
"While Gazans Suffer, Hamas Reaps the Benefits",https://www.nytimes.com/2023/12/09/world/middleeast/hamas-gaza-israel.html,2023-12-09T15:02:49+0000,By Ben Hubbard,World,
Israel Confirms Death of Hamas Commander Amid Funerals for 2 Senior Militants,https://www.nytimes.com/2024/08/01/world/middleeast/israel-hamas-muhammad-deif.html,2024-08-01T21:53:51+0000,"By Aaron Boxerman, Farnaz Fassihi, Euan Ward and Michael Levenson",World,
Palestinian TV Reporter and 11 Family Members Killed in Gaza,https://www.nytimes.com/2023/11/03/world/middleeast/mohammed-abu-hatab-reporter-killed-gaza.html,2023-11-03T23:43:43+0000,By Gaya Gupta,World,
The Pathways to Peace Are Getting Darker,https://www.nytimes.com/2023/10/13/opinion/israel-gaza-war-peace.html,2023-10-13T09:03:41+0000,By Dahlia Scheindlin,Opinion,
"We Know War Is Awful, So Why Is It Making a Comeback?",https://www.nytimes.com/2023/11/27/opinion/war-israel-gaza-tigray.html,2023-11-27T20:00:02+0000,By Peter Coy,Opinion,
Pager Attack Highlights Tension Between Israel’s Technical Might and Strategic Fog,https://www.nytimes.com/2024/09/19/world/middleeast/israel-hezbollah-lebanon-hamas-gaza.html,2024-09-19T13:38:31+0000,By Patrick Kingsley,World,
Protests at the Democrats’ Convention Weren’t as Big and Disruptive as Some Expected,https://www.nytimes.com/2024/08/23/us/democratic-convention-chicago-protests.html,2024-08-23T09:03:03+0000,"By Julie Bosman, Mitch Smith, Ernesto Londoño, Nicholas Bogel-Burroughs and Jon Cherry",U.S.,
